Date,Open Price
18-Dec-03,5298
19-Dec-03,5189.45
22-Dec-03,5265
23-Dec-03,5321.55
24-Dec-03,5450
26-Dec-03,5434.7
29-Dec-03,5425
30-Dec-03,5597.7
31-Dec-03,5525
1-Jan-04,5598
2-Jan-04,5650
5-Jan-04,5750
6-Jan-04,5950
7-Jan-04,5748
8-Jan-04,5721.25
9-Jan-04,6000
12-Jan-04,5899
13-Jan-04,5770
14-Jan-04,5794
15-Jan-04,5701.25
16-Jan-04,5550
19-Jan-04,5535
20-Jan-04,5525
21-Jan-04,5425
22-Jan-04,5400
23-Jan-04,5225.35
27-Jan-04,5400
28-Jan-04,5505
29-Jan-04,5350
30-Jan-04,5388.8
3-Feb-04,5240
4-Feb-04,5201.35
5-Feb-04,5380
6-Feb-04,5411.3
9-Feb-04,5599
10-Feb-04,5650
11-Feb-04,5550
12-Feb-04,5500
13-Feb-04,5368
16-Feb-04,5401.55
17-Feb-04,5360
18-Feb-04,5440
19-Feb-04,5350
20-Feb-04,5099
23-Feb-04,5076
24-Feb-04,5059.9
25-Feb-04,5670
26-Feb-04,5000
27-Feb-04,4890
1-Mar-04,5098
3-Mar-04,5300
4-Mar-04,5215
5-Mar-04,5299
8-Mar-04,5249
9-Mar-04,5825
10-Mar-04,4948
11-Mar-04,4888.8
12-Mar-04,4885
15-Mar-04,5152.55
16-Mar-04,4900.35
17-Mar-04,4975
18-Mar-04,5098.9
19-Mar-04,4932
22-Mar-04,5200
23-Mar-04,5050
24-Mar-04,5135.35
25-Mar-04,5050
26-Mar-04,5235.35
29-Mar-04,5299.9
30-Mar-04,5260
31-Mar-04,4736.05
1-Apr-04,4951.05
2-Apr-04,5125
5-Apr-04,5048
6-Apr-04,5945
7-Apr-04,5400
8-Apr-04,5390
12-Apr-04,5340
13-Apr-04,5888.95
15-Apr-04,5577.7
16-Apr-04,5395
17-Apr-04,5400
19-Apr-04,5400
20-Apr-04,5385
21-Apr-04,5379
22-Apr-04,5430
23-Apr-04,5420
27-Apr-04,5297.8
28-Apr-04,5145
29-Apr-04,5099
30-Apr-04,5080
3-May-04,5071.1
4-May-04,5225
5-May-04,5249
6-May-04,5300
7-May-04,5275
10-May-04,5150
11-May-04,5099
12-May-04,5050
13-May-04,5098.7
14-May-04,5225
17-May-04,5049.7
18-May-04,4747
19-May-04,5010
20-May-04,5064
21-May-04,4920
24-May-04,5000
25-May-04,5274.7
26-May-04,5381
27-May-04,5250
28-May-04,5275
31-May-04,5090
1-Jun-04,5201.55
2-Jun-04,5294.7
3-Jun-04,5360
4-Jun-04,5200
7-Jun-04,5260
8-Jun-04,5225
9-Jun-04,5201.35
10-Jun-04,5244.7
11-Jun-04,5280
14-Jun-04,5099.9
15-Jun-04,5015
16-Jun-04,5150
17-Jun-04,5150
18-Jun-04,5200
21-Jun-04,5275
22-Jun-04,5315.35
23-Jun-04,5395
24-Jun-04,5339.7
25-Jun-04,5410
28-Jun-04,5530
29-Jun-04,5605
30-Jun-04,5570
1-Jul-04,1395
2-Jul-04,1365.25
5-Jul-04,1426.3
6-Jul-04,1427
7-Jul-04,1404.15
8-Jul-04,1400
9-Jul-04,1300
12-Jul-04,1387
13-Jul-04,1425
14-Jul-04,1420
15-Jul-04,1424.4
16-Jul-04,1443.5
19-Jul-04,1478
20-Jul-04,1474
21-Jul-04,1451
22-Jul-04,1454
23-Jul-04,1450
26-Jul-04,1438.8
27-Jul-04,1470
28-Jul-04,1480
29-Jul-04,1509.55
30-Jul-04,1541.1
2-Aug-04,1550
3-Aug-04,1559.9
4-Aug-04,1579
5-Aug-04,1544
6-Aug-04,1551
9-Aug-04,1511.8
10-Aug-04,1541
11-Aug-04,1535
12-Aug-04,1504
13-Aug-04,1490
16-Aug-04,1483
17-Aug-04,1499
18-Aug-04,1483
19-Aug-04,1500
20-Aug-04,1535
23-Aug-04,1558
24-Aug-04,1560
25-Aug-04,1556.1
26-Aug-04,1543
27-Aug-04,1552.9
30-Aug-04,1572
31-Aug-04,1580
1-Sep-04,1575
2-Sep-04,1595.05
3-Sep-04,1605
6-Sep-04,1610
7-Sep-04,1606.05
8-Sep-04,1619
9-Sep-04,1626
10-Sep-04,1630.1
13-Sep-04,1685
14-Sep-04,1679.7
15-Sep-04,1708
16-Sep-04,1697.25
17-Sep-04,1695.95
20-Sep-04,1681
21-Sep-04,1660.15
22-Sep-04,1676.15
23-Sep-04,1659.8
24-Sep-04,1635.5
27-Sep-04,1620
28-Sep-04,1638.7
29-Sep-04,1616.25
30-Sep-04,1670
1-Oct-04,1735
4-Oct-04,1720
5-Oct-04,1730.25
6-Oct-04,1710
7-Oct-04,1700
8-Oct-04,1708
9-Oct-04,1708
11-Oct-04,1705.25
12-Oct-04,1732
14-Oct-04,1722.1
15-Oct-04,1815.55
18-Oct-04,1801
19-Oct-04,1780
20-Oct-04,1772
21-Oct-04,1760.35
25-Oct-04,1785.15
26-Oct-04,1821
27-Oct-04,1872
28-Oct-04,1880
29-Oct-04,1946
1-Nov-04,1908
2-Nov-04,1944
3-Nov-04,1918
4-Nov-04,1980.5
5-Nov-04,2015
